our_slug	polycab_url
industries/cables-by-application/it-industry/polycab-instrumentation-500-mcst	https://polycab.com/polycab-instrumentation-500-mc-st/a-3905/p-54770
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-35-swa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-35-swa/a-5046/p-55269
industries/cables-by-application/it-industry/polycab-instrumentation-500-tst	https://polycab.com/polycab-instrumentation-500-t-st/a-3905/p-54784
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-2-sfa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-2-sfa/a-5046/p-55255
industries/cables-by-application/it-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-sfa	https://polycab.com/polycab-lv-15-cu-iec-60502-1-061kv-mc-sfa/a-5043/p-55305
industries/cables-by-application/it-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-swa	https://polycab.com/polycab-lv-15-cu-iec-60502-1-061kv-mc-swa/a-5043/p-55307
industries/cables-by-application/it-industry/polycab-lv-15-cu-iec-60502-1-061kv-mc-ua	https://polycab.com/polycab-lv-15-cu-iec-60502-1-061kv-mc-ua/a-5043/p-55303
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-2-swa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-2-swa/a-5046/p-55257
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-4-ua	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-4-ua/a-5046/p-55295
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-3-sfa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-3-sfa/a-5046/p-55279
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-3-swa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-3-swa/a-5046/p-55281
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-35-sfa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-35-sfa/a-5046/p-55267
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-mc-4-swa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-mc-4-swa/a-5046/p-55293
industries/cables-by-application/it-industry/polycab-lv-al-iec-60502-1-061kv-sc-sfa	https://polycab.com/polycab-lv-al-iec-60502-1-061kv-sc-sfa/a-5046/p-55247
industries/cables-by-application/it-industry/polycab-lv-cu-iec-60502-1-061kv-mc-3-ua	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-3-ua/a-5046/p-55289
industries/cables-by-application/it-industry/polycab-lv-cu-iec-60502-1-061kv-mc-2-sfa	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-2-sfa/a-5046/p-55261
industries/cables-by-application/it-industry/polycab-lv-cu-iec-60502-1-061kv-mc-2-ua	https://polycab.com/polycab-lv-cu-iec-60502-1-061kv-mc-2-ua/a-5046/p-55265
