=== DATASHEET FILL (DRY RUN — no DB writes) ===
Products with missing datasheet: 499
Mapped to a specific range brochure: 280
Mapped to B2B all-products fallback: 219

By brochure:
   219  B2B All-Products (fallback)
    60  Switches
    49  LED Lighting
    37  LT Cable
    30  Communication & Data Cable
    30  House Wires
    25  HT Cable (MV)
    12  Fans
     9  Dowells
     7  Professional Lighting
     7  Switchgear
     5  Solar Range
     4  Rubber Cable
     1  EHV Cable
     1  Instrumentation Cable
     1  Fire Survival Cable
     1  Solar DC Cable
     1  Green Wire

B2B All-Products (fallback)	industries/cables-by-application/mass-transit-railways-and-marine	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
LED Lighting	lighting/led-batten/high-wattage-led-batten	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
B2B All-Products (fallback)	industries/cables-by-application/metal-industry	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
HT Cable (MV)	industries/cables-by-application/mining-drilling-and-tunneling/polycab-mv-cu-is-9968-2-1933e-or-3333uekv	https://cms.polycab.com/media/2bgh00kf/ht-cable-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/mining-drilling-and-tunneling/polycab-rr-c-mc-1100v-ac-is-9968-1	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/oil-gas-and-petrochemical	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
Professional Lighting	lighting/outdoor-lights/vigaro-clear-led-gate-light	https://cms.polycab.com/media/e5qdcpje/professional-lighting-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-6181b-bs-7211-sc-450750v-ac	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/pharmaceutical-industry	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-al-type-tc-xhhw-2-cable-600v	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
LED Lighting	lighting/rope-and-strip-lights/120-led-rope-light	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
LED Lighting	lighting/rope-and-strip-lights/240-led-strip-light	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-cu-type-tctc-er-xhhw-2-tray-cable	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
Communication & Data Cable	industries/cables-by-application/commercial/polycab-festoon-flat-05sqmm-multicore-cable	https://cms.polycab.com/media/1nvdf0tf/approved_communicaton-cable-catlogue.pdf
LED Lighting	lighting/rope-and-strip-lights/led-strip-light-driver	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
Communication & Data Cable	industries/cables-by-application/commercial/polycab-festoon-flat-25sqmm-multicore-cable	https://cms.polycab.com/media/1nvdf0tf/approved_communicaton-cable-catlogue.pdf
LED Lighting	lighting/led-cob/gliss-cob-surface-spot-light-rd-white-hsg-and-gm-refltr	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
LED Lighting	lighting/led-cob/gliss-cob-surface-spot-light-rd-black-hsg-and-rg-refltr	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-h03v2v2-fandh03v2v2h2-f-bsen-50525-2-11-mc-300300v-ac	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
House Wires	industries/cables-by-application/commercial/polycab-hr-fr-lsh-lf-green-wire-1100v-ac-is-694	https://cms.polycab.com/media/q33mxdlf/house-wires-catalogue-with-suprema-march-25.pdf
LED Lighting	lighting/led-cob/gliss-cob-surface-track-light-white-hsg	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
LED Lighting	lighting/led-cob/gliss-cob-track-light-black-hsg	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
LED Lighting	lighting/led-cob/gliss-cob-surface-track-light-black-hsg	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
HT Cable (MV)	industries/cables-by-application/power-and-network/polycab-aerial-bunched-cable-1933kv-acabc	https://cms.polycab.com/media/2bgh00kf/ht-cable-catalogue.pdf
LED Lighting	lighting/led-cob/gliss-deco-cob-downlight-black-hsg-and-rg-refltr	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
HT Cable (MV)	industries/cables-by-application/power-and-network/polycab-bs-5467-mcshaped-conductor1933kv-ac	https://cms.polycab.com/media/2bgh00kf/ht-cable-catalogue.pdf
LED Lighting	lighting/led-cob/gliss-deco-cob-downlight-white-hsg-and-gm-refltr	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
LED Lighting	lighting/led-cob/gliss-deco-cob-downlight-black-hsg-and-gm-refltr	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
B2B All-Products (fallback)	industries/cables-by-application/power-and-network	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/commercial/polycab-type-mc-pvc-jacketed-cu-conductor-ul-1569-600v	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
LED Lighting	lighting/led-cob/gliss-deep-recess-cob-downlight-black-hsg-and-gm-refltr	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
LED Lighting	lighting/led-cob/gliss-deep-recess-cob-downlight-white-hsg	https://cms.polycab.com/media/vn4bv5f4/led-digital-catalogue-2026.pdf
B2B All-Products (fallback)	industries/cables-by-application/renewable-energy	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/residential/polycab-al-type-tc-xhhw-2-cable-600v	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/residential/polycab-al-xhhw-2-ul-44-600v	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
B2B All-Products (fallback)	industries/cables-by-application/residential	https://cms.polycab.com/media/2hlozcdj/b2b-all-products-catalogue.pdf
House Wires	industries/cables-by-application/residential/polycab-etira-fr-1100v-ac-is-694	https://cms.polycab.com/media/q33mxdlf/house-wires-catalogue-with-suprema-march-25.pdf
